Model,Horizon,RMSE,MAE,MAPE,R2
DLinear,6,0.729541,0.5223013,0.29484061524271965,0.9994089007377625
DLinear,12,1.4370382,0.93087757,0.5301606375724077,0.9976945519447327
DLinear,24,2.8809388,1.8752543,1.0604002512991428,0.9906541705131531
DLinear,48,5.0104475,3.3585858,1.8811291083693504,0.9711627960205078
DLinear,96,7.638802,5.366166,3.023981675505638,0.929473876953125
DLinear,168,10.126944,7.3788633,4.18512225151062,0.8678162693977356
NLinear,6,0.6913895,0.50081545,0.2826736308634281,0.9994691014289856
NLinear,12,1.4445839,0.93734676,0.5334196146577597,0.9976702928543091
NLinear,24,2.9739926,1.9363725,1.0913340374827385,0.9900407195091248
NLinear,48,5.4186993,3.5895023,2.007416822016239,0.9662719964981079
NLinear,96,8.115431,5.5920825,3.1460940837860107,0.9203982353210449
NLinear,168,10.394364,7.4277935,4.185383766889572,0.86074298620224
