Model,Horizon,RMSE,MAE,MAPE,R2
DLinear,6,4.125197,1.9430526,0.9199516847729683,0.9932732582092285
DLinear,12,4.5807495,2.1349897,1.0054969228804111,0.9917104244232178
DLinear,24,5.340921,2.647543,1.2375574558973312,0.9887405037879944
DLinear,48,6.890745,3.821126,1.7742300406098366,0.9812774062156677
DLinear,96,9.560567,5.825147,2.7048923075199127,0.9640108346939087
DLinear,168,12.442104,8.074977,3.8317017257213593,0.9390052556991577
NLinear,6,4.117087,1.9097451,0.9012994356453419,0.9932997226715088
NLinear,12,4.5726566,2.132391,1.003436092287302,0.9917396903038025
NLinear,24,5.4127793,2.6978722,1.2592659331858158,0.9884355068206787
NLinear,48,7.267351,4.0234213,1.8785612657666206,0.9791749119758606
NLinear,96,10.284629,6.289382,2.9301969334483147,0.9583531618118286
NLinear,168,13.473131,8.933784,4.23232838511467,0.9284776449203491
