Actual,Predicted
218.84001,219.93753
219.84,220.20435
220.61,220.6871
221.15,221.24196
221.45999,221.37187
221.53,221.40941
221.36,220.80539
220.94,220.6949
220.27,220.12238
219.38,219.43057
218.33,218.74783
217.24,218.05629
216.23,217.66594
215.43,216.97716
214.92,216.87906
214.76001,216.42944
214.92,216.13228
215.36,216.10979
215.99,216.19403
216.7,216.7428
217.4,217.25438
218.01001,217.95717
218.48,218.81654
218.79,219.5482
218.93001,220.37386
218.94,221.40872
218.83,222.0168
218.61,222.43428
218.3,223.05678
217.93,223.36316
217.53,223.52184
217.18001,223.63834
216.95,223.6038
216.94,223.42546
217.24,223.1356
217.9,222.85443
218.9,222.55809
220.15999,222.35706
221.54,222.14209
222.87,222.01819
223.97,221.96295
224.69,221.65994
224.95999,221.72646
224.76001,221.46545
224.16,221.45116
223.28,221.31328
222.31,221.4342
221.45001,221.21002
219.84,220.8759
220.61,220.26373
221.15,220.92827
221.45999,221.17194
221.53,221.0279
221.36,220.8675
220.94,220.30304
220.27,219.80795
219.38,219.14488
218.33,218.59625
217.24,217.81744
216.23,217.2806
215.43,216.90944
214.92,216.61978
214.76001,216.32492
214.92,216.13748
215.36,215.94377
215.99,216.12923
216.7,216.60246
217.4,216.99782
218.01001,217.74873
218.48,218.46481
218.79,219.23726
218.93001,220.3286
218.94,220.83179
218.83,221.52632
218.61,222.32913
218.3,222.86923
217.93,222.92108
217.53,223.31262
217.18001,223.47832
216.95,223.43405
216.94,223.42586
217.24,223.0704
217.9,222.87956
218.9,222.50558
220.15999,222.25067
221.54,222.03302
222.87,222.13356
223.97,221.50252
224.69,221.83533
224.95999,221.5645
224.76001,221.50177
224.16,221.33841
223.28,221.22359
222.31,221.27972
221.45001,221.33255
220.84001,221.29024
220.61,220.94373
221.15,220.90497
221.45999,220.99292
221.53,221.17227
221.36,220.85576
220.94,220.10591
220.27,219.66524
219.38,218.91821
218.33,218.22484
217.24,217.55971
216.23,216.9705
215.43,216.35298
214.92,216.2918
214.76001,215.90927
214.92,215.82544
215.36,215.6261
215.99,216.10332
216.7,216.17781
217.4,217.0274
218.01001,217.30154
218.48,218.1079
218.79,219.10548
218.93001,219.87996
218.94,220.3113
218.83,221.372
218.61,222.08185
218.3,222.50322
217.93,222.63492
217.53,223.1357
217.18001,223.30606
216.95,223.20197
216.94,223.1773
217.24,223.0042
217.9,222.78773
218.9,222.29424
220.15999,222.15291
221.54,221.73792
222.87,221.87659
223.97,221.55383
224.69,221.582
224.95999,221.46298
224.76001,221.09756
224.16,221.29918
223.28,221.26703
222.31,221.16716
221.45001,221.19815
220.84001,221.05852
220.61,221.20044
221.15,221.09525
221.45999,220.88666
221.53,221.05032
221.36,221.20224
220.94,220.3665
220.27,220.05852
219.38,218.72627
218.33,218.00902
217.24,217.28561
216.23,216.70375
215.43,215.95967
214.92,215.59283
214.76001,215.38377
214.92,215.04701
215.36,215.26843
215.99,215.51793
216.7,215.84312
217.4,216.58115
218.01001,217.21606
218.48,218.01431
218.79,218.74016
218.93001,219.55803
218.94,220.38585
218.83,221.18016
218.61,221.80836
218.3,222.22441
217.93,222.55685
217.53,222.97147
217.18001,222.79094
216.95,222.98997
216.94,222.96523
217.24,222.74153
217.9,222.60822
218.9,222.23749
220.15999,221.96034
221.54,221.77965
222.87,221.6731
223.97,221.28548
224.69,221.1882
224.95999,221.0859
224.76001,221.21892
224.16,220.98985
223.28,221.04877
222.31,220.83383
221.45001,221.1976
220.84001,220.9402
220.61,221.3269
220.77,220.93842
221.45999,220.9323
221.53,221.26907
221.36,221.25229
220.94,220.46925
220.27,220.19765
219.38,219.11336
218.33,218.14836
217.24,217.27739
216.23,216.38356
215.43,215.75735
214.92,215.1673
214.76001,214.7369
214.92,214.54527
215.36,214.56267
215.99,214.84999
216.7,215.40598
217.4,216.0373
218.01001,216.79749
218.48,217.76862
218.79,218.29347
218.93001,219.38791
218.94,220.21503
218.83,220.97415
218.61,221.58994
218.3,222.08911
217.93,222.40414
217.53,222.85779
217.18001,222.69232
216.95,222.65265
216.94,222.75336
217.24,222.50325
217.9,222.4232
218.9,222.0335
220.15999,221.86368
221.54,221.71207
222.87,221.25851
223.97,220.91107
224.69,220.98842
224.95999,220.98595
224.76001,220.79277
224.16,220.83089
223.28,220.70728
222.31,220.8276
221.45001,220.94342
220.84001,220.77422
220.61,221.06157
220.77,220.99138
221.25,220.91656
221.53,221.12373
221.36,221.36876
220.94,220.83856
220.27,220.3518
219.38,219.2034
218.33,218.24585
217.24,217.3134
216.23,216.277
215.43,215.55225
214.92,214.92616
214.76001,214.26495
214.92,213.82709
215.36,214.02005
215.99,214.09308
216.7,214.74332
217.4,215.49075
218.01001,216.4622
218.48,217.13718
218.79,218.24669
