Actual,Predicted
7.26,7.2641816
7.26,7.263411
7.27,7.2677784
7.27,7.2659135
7.27,7.269253
7.27,7.2675457
7.27,7.2724648
7.27,7.272202
7.27,7.2754197
7.27,7.2774
7.2799997,7.27561
7.2799997,7.279837
7.2799997,7.279582
7.28,7.2800937
7.28,7.2839713
7.28,7.2815876
7.2799997,7.282708
7.2799997,7.28358
7.28,7.2842245
7.28,7.2858176
7.2799997,7.2857747
7.2799997,7.286829
7.28,7.2852015
7.28,7.2872987
7.28,7.2907324
7.29,7.288013
7.29,7.288446
7.29,7.289544
7.29,7.2896357
7.29,7.2911663
7.29,7.290192
7.29,7.2915015
7.29,7.289272
7.29,7.2882614
7.29,7.2893815
7.2799997,7.290947
7.28,7.2899094
7.28,7.287249
7.2799997,7.2900176
7.28,7.2882023
7.28,7.284817
7.2799997,7.2851562
7.28,7.285816
7.2799997,7.283797
7.2799997,7.2834983
7.28,7.28364
7.2799997,7.281376
7.28,7.281433
7.26,7.268561
7.27,7.266158
7.27,7.266707
7.27,7.267474
7.27,7.267883
7.27,7.27039
7.27,7.273817
7.27,7.2728987
7.27,7.276823
7.2799997,7.2775283
7.2799997,7.278021
7.2799997,7.279214
7.28,7.2811866
7.28,7.2823462
7.28,7.281742
7.2799997,7.282717
7.2799997,7.2834864
7.28,7.2853503
7.28,7.2841244
7.2799997,7.285267
7.2799997,7.286486
7.28,7.284928
7.28,7.287002
7.28,7.2885585
7.29,7.28858
7.29,7.288038
7.29,7.2888966
7.29,7.288545
7.29,7.287913
7.29,7.2900586
7.29,7.2901335
7.29,7.2881165
7.29,7.289195
7.29,7.2891407
7.2799997,7.2888536
7.28,7.288035
7.28,7.2886753
7.2799997,7.2863636
7.28,7.287829
7.28,7.2857203
7.2799997,7.2834144
7.28,7.284618
7.2799997,7.2827773
7.2799997,7.282794
7.28,7.283117
7.2799997,7.280181
7.28,7.2798
7.28,7.280573
7.27,7.272528
7.27,7.2658362
7.27,7.2677183
7.27,7.266408
7.27,7.2708325
7.27,7.2698865
7.27,7.2737546
7.27,7.2753305
7.2799997,7.27847
7.2799997,7.2792253
7.2799997,7.2788143
7.28,7.2809744
7.28,7.28219
7.28,7.280429
7.2799997,7.2835097
7.2799997,7.2844996
7.28,7.2834463
7.28,7.2838087
7.2799997,7.2845006
7.2799997,7.2847757
7.28,7.285836
7.28,7.287792
7.28,7.2865586
7.29,7.287073
7.29,7.288129
7.29,7.2865996
7.29,7.287428
7.29,7.286633
7.29,7.287735
7.29,7.2889514
7.29,7.2882695
7.29,7.2896967
7.29,7.288311
7.2799997,7.286272
7.28,7.2865024
7.28,7.2873816
7.2799997,7.2864842
7.28,7.2854967
7.28,7.2848644
7.2799997,7.2841935
7.28,7.282676
7.2799997,7.28195
7.2799997,7.282049
7.28,7.282324
7.2799997,7.279906
7.28,7.2782125
7.28,7.279302
7.2799997,7.279129
7.27,7.2695417
7.27,7.2655396
7.27,7.2668853
7.27,7.2689
7.27,7.269992
7.27,7.271555
7.27,7.276176
7.2799997,7.2771378
7.2799997,7.2783647
7.2799997,7.280789
7.28,7.2792435
7.28,7.2825255
7.28,7.281784
