Actual,Predicted
7.26,7.2629232
7.26,7.263478
7.27,7.264675
7.27,7.267752
7.27,7.266692
7.27,7.2681537
7.27,7.2711897
7.27,7.2725997
7.27,7.271735
7.27,7.2770762
7.2799997,7.276317
7.2799997,7.2786174
7.2799997,7.277982
7.28,7.2813125
7.28,7.283099
7.28,7.2806363
7.2799997,7.2828293
7.2799997,7.284431
7.28,7.286458
7.28,7.287773
7.2799997,7.287881
7.2799997,7.2882524
7.28,7.289319
7.28,7.289217
7.28,7.2902246
7.29,7.290312
7.29,7.2904987
7.29,7.291937
7.29,7.2934036
7.29,7.2918663
7.29,7.2941375
7.29,7.2932057
7.29,7.2944546
7.29,7.295124
7.29,7.294049
7.2799997,7.2940288
7.28,7.2932773
7.28,7.2920284
7.2799997,7.292272
7.28,7.290042
7.28,7.2901874
7.2799997,7.2912626
7.28,7.2909656
7.2799997,7.287274
7.2799997,7.2873006
7.28,7.288963
7.2799997,7.2843356
7.28,7.28609
7.26,7.267384
7.27,7.264546
7.27,7.265125
7.27,7.2666035
7.27,7.268085
7.27,7.270184
7.27,7.27091
7.27,7.273668
7.27,7.2745237
7.2799997,7.276713
7.2799997,7.2769704
7.2799997,7.2789674
7.28,7.278237
7.28,7.281766
7.28,7.282076
7.2799997,7.282242
7.2799997,7.2826133
7.28,7.2850122
7.28,7.2862277
7.2799997,7.2871466
7.2799997,7.2863054
7.28,7.2879205
7.28,7.29042
7.28,7.29028
7.29,7.289415
7.29,7.288815
7.29,7.2909856
7.29,7.289888
7.29,7.291726
7.29,7.2918797
7.29,7.2918515
7.29,7.292326
7.29,7.2932997
7.29,7.2936735
7.2799997,7.292156
7.28,7.291532
7.28,7.291109
7.2799997,7.291186
7.28,7.290469
7.28,7.28836
7.2799997,7.288434
7.28,7.2900767
7.2799997,7.288474
7.2799997,7.28586
7.28,7.287026
7.2799997,7.284798
7.28,7.2835846
7.28,7.2835383
7.27,7.27258
7.27,7.2632084
7.27,7.2649803
7.27,7.267259
7.27,7.267996
7.27,7.27108
7.27,7.273841
7.27,7.274969
7.2799997,7.2739725
7.2799997,7.277147
7.2799997,7.2782083
7.28,7.2794356
7.28,7.278805
7.28,7.281995
7.2799997,7.282418
7.2799997,7.282608
7.28,7.2837925
7.28,7.2825294
7.2799997,7.2854633
7.2799997,7.28653
7.28,7.2872024
7.28,7.2878633
7.28,7.2889967
7.29,7.2884073
7.29,7.288766
7.29,7.288482
7.29,7.2894993
7.29,7.290063
7.29,7.291298
7.29,7.2909536
7.29,7.2910247
7.29,7.290982
7.29,7.2912393
7.2799997,7.2919164
7.28,7.2898374
7.28,7.2892866
7.2799997,7.2905965
7.28,7.28965
7.28,7.2876825
7.2799997,7.2867517
7.28,7.2864184
7.2799997,7.2886944
7.2799997,7.2864556
7.28,7.285295
7.2799997,7.2839513
7.28,7.283642
7.28,7.2830224
7.2799997,7.282245
7.27,7.2685776
7.27,7.263799
7.27,7.2659545
7.27,7.2684164
7.27,7.27019
7.27,7.2711287
7.27,7.2748246
7.2799997,7.2759666
7.2799997,7.27585
7.2799997,7.278758
7.28,7.278475
7.28,7.2800236
7.28,7.278479
7.2799997,7.2816706
7.2799997,7.282886
7.28,7.2826514
7.28,7.283611
7.2799997,7.2822876
7.2799997,7.2849813
7.28,7.285583
7.28,7.286863
7.28,7.2883987
7.29,7.288095
7.29,7.2881193
7.29,7.2882867
7.29,7.2872376
7.29,7.28815
7.29,7.2898116
7.29,7.289902
7.29,7.28968
7.29,7.2898088
7.29,7.2906127
7.2799997,7.290356
7.28,7.2892246
7.28,7.2869763
7.2799997,7.2880816
7.28,7.2881436
7.28,7.28824
7.2799997,7.2865815
7.28,7.284944
7.2799997,7.2848125
7.2799997,7.2870893
7.28,7.2863073
7.2799997,7.2821856
7.28,7.281902
7.28,7.2830596
7.2799997,7.280717
7.28,7.2795463
7.27,7.2651954
7.27,7.264905
7.27,7.2685885
7.27,7.26774
7.27,7.2711263
7.27,7.2736125
7.2799997,7.2748723
7.2799997,7.2767076
7.2799997,7.2765884
7.28,7.279445
7.28,7.2795587
7.28,7.2789054
7.2799997,7.280367
7.2799997,7.282052
7.28,7.2836447
7.28,7.2834153
7.2799997,7.2831507
7.2799997,7.2812214
7.28,7.2854834
7.28,7.285413
7.28,7.285813
7.29,7.2879477
7.29,7.2876253
7.29,7.287581
7.29,7.2873564
7.29,7.286719
7.29,7.288926
7.29,7.2872624
7.29,7.2891235
7.29,7.288605
7.29,7.2885633
7.2799997,7.288773
7.28,7.288595
7.28,7.287417
7.2799997,7.285771
7.28,7.286595
7.28,7.2860923
7.2799997,7.2863154
7.28,7.2854695
7.2799997,7.281715
7.2799997,7.2836256
7.28,7.285935
7.2799997,7.282473
7.28,7.2806673
7.28,7.281504
7.2799997,7.281242
7.28,7.279157
7.2799997,7.277336
7.27,7.264091
7.27,7.2655673
7.27,7.2693496
7.27,7.270529
7.27,7.2732882
7.2799997,7.274195
7.2799997,7.277526
7.2799997,7.2760773
7.28,7.2782526
7.28,7.280011
7.28,7.2798223
7.2799997,7.279519
7.2799997,7.280396
7.28,7.282265
7.28,7.2828836
7.2799997,7.2825685
7.2799997,7.283683
7.28,7.2816534
7.28,7.2856674
7.28,7.2861056
7.29,7.286311
7.29,7.285604
7.29,7.285423
7.29,7.286918
7.29,7.2864904
7.29,7.286581
7.29,7.2863927
7.29,7.2878036
7.29,7.2881346
7.29,7.2882004
7.2799997,7.2879972
7.28,7.2872944
7.28,7.286286
7.2799997,7.286215
7.28,7.284057
7.28,7.2835064
7.2799997,7.2832975
7.28,7.2860613
7.2799997,7.2827034
7.2799997,7.2811465
7.28,7.2820725
7.2799997,7.283449
7.28,7.2801967
7.28,7.2806892
7.2799997,7.2789764
7.28,7.27864
7.2799997,7.278229
7.28,7.275474
7.27,7.2658772
7.27,7.2682176
7.27,7.2713914
7.27,7.2719417
7.2799997,7.2747183
7.2799997,7.2751207
7.2799997,7.276834
7.28,7.2784367
7.28,7.278938
7.28,7.280561
7.2799997,7.280169
7.2799997,7.2808867
7.28,7.2812557
7.28,7.282605
7.2799997,7.281956
7.2799997,7.282743
7.28,7.283732
7.28,7.282391
7.28,7.2862496
7.29,7.2847466
7.29,7.283777
7.29,7.2863793
7.29,7.2852883
7.29,7.2860465
7.29,7.28632
7.29,7.2849073
7.29,7.286515
7.29,7.286185
7.29,7.2862372
7.2799997,7.287243
7.28,7.285153
7.28,7.2861977
7.2799997,7.2860622
7.28,7.2853136
7.28,7.2807703
7.2799997,7.2822037
7.28,7.282976
7.2799997,7.282348
7.2799997,7.28178
7.28,7.2806334
7.2799997,7.2795057
7.28,7.281036
7.28,7.2797704
7.2799997,7.278018
7.28,7.2775187
7.2799997,7.2775245
7.28,7.2751937
