Actual,Predicted
218.84001,220.0759
219.84,220.1624
220.61,220.81989
221.15,220.9174
221.45999,221.09993
221.53,221.19324
219.84,220.80322
220.61,220.51187
221.15,220.86128
221.45999,221.13274
221.53,221.0185
221.36,220.83116
220.61,221.22433
221.15,220.71492
221.45999,221.22687
221.53,221.20616
221.36,220.984
220.94,220.52907
221.15,221.01134
221.45999,221.08505
221.53,221.41997
221.36,221.16898
220.94,220.56815
220.27,220.10332
221.45999,220.95634
221.53,221.35301
221.36,221.44563
220.94,220.94434
220.27,220.3696
219.38,219.35507
221.53,221.15585
221.36,221.4355
220.94,221.17155
220.27,220.46573
219.38,219.44418
218.33,218.48825
221.36,221.03493
220.94,221.14429
220.27,220.51979
219.38,219.36661
218.33,218.42973
217.24,217.59682
220.94,220.66528
220.27,220.2886
219.38,219.42288
218.33,218.51118
217.24,217.47005
216.23,216.38515
220.27,220.28778
219.38,219.04527
218.33,218.54662
217.24,217.34778
216.23,216.41843
215.43,215.37238
219.38,219.18817
218.33,218.43117
217.24,217.09726
216.23,216.10883
215.43,215.18579
214.92,214.49266
218.33,219.44014
217.24,217.62683
216.23,216.59041
215.43,215.1527
214.92,214.014
214.76001,213.17628
217.24,218.17378
216.23,216.239
215.43,214.97362
214.92,214.1731
214.76001,213.53978
214.92,213.17088
216.23,215.87465
215.43,214.48596
214.92,214.18112
214.76001,214.0188
214.92,213.8122
215.36,213.80339
215.43,214.36777
214.92,213.81592
214.76001,214.06595
214.92,214.27336
215.36,214.52507
215.99,214.49365
214.92,213.98448
214.76001,214.8496
214.92,214.71552
215.36,214.87244
215.99,214.90886
216.7,215.13306
214.76001,214.02213
214.92,215.06287
215.36,215.22345
215.99,215.26016
216.7,215.77676
217.4,216.37457
214.92,213.98901
215.36,215.23935
215.99,215.35849
216.7,216.24072
217.4,217.1108
218.01001,217.80135
215.36,215.45784
215.99,215.82582
216.7,216.76067
217.4,217.39395
218.01001,218.10023
218.48,218.59766
215.99,216.3714
216.7,216.9683
217.4,217.52542
218.01001,218.27022
218.48,218.76753
218.79,219.16922
216.7,216.83386
217.4,217.78246
218.01001,218.20268
218.48,218.6814
218.79,219.14049
218.93001,219.28731
217.4,217.98775
218.01001,218.12231
218.48,218.63254
218.79,219.06197
218.93001,218.93884
218.94,219.17413
218.01001,218.74698
218.48,218.71338
218.79,218.8853
218.93001,218.89227
218.94,219.06584
218.83,218.64615
218.48,219.32901
218.79,218.94258
218.93001,218.82867
218.94,218.92479
218.83,218.38829
218.61,218.34035
218.79,219.48225
218.93001,218.6851
218.94,218.66968
218.83,218.43956
218.61,218.16527
218.3,217.7225
218.93001,219.0665
218.94,218.69438
218.83,218.35005
218.61,218.20392
218.3,217.6946
217.93,217.40605
218.94,219.19775
218.83,218.47673
218.61,218.2843
218.3,217.68158
217.93,217.3851
217.53,216.99043
218.83,218.84056
218.61,218.47313
218.3,217.72144
217.93,217.47502
217.53,216.9481
217.18001,216.95914
218.61,218.40027
218.3,217.71811
217.93,217.60434
217.53,217.24335
217.18001,217.1518
216.95,217.06442
218.3,217.58398
217.93,217.38881
217.53,217.10446
217.18001,217.27676
216.95,217.46823
216.94,217.62843
217.93,217.40921
217.53,217.65501
217.18001,217.40797
216.95,217.48373
216.94,217.57797
217.24,217.83849
217.53,217.83308
217.18001,217.68817
216.95,217.54224
216.94,217.70564
217.24,217.94461
217.9,218.39076
217.18001,218.36885
216.95,218.0461
216.94,217.76712
217.24,217.95885
217.9,218.38165
218.9,218.78291
216.95,219.05722
216.94,218.08957
217.24,217.86908
217.9,218.32176
218.9,218.72095
220.15999,219.6173
216.94,219.50546
217.24,218.14722
217.9,218.20218
218.9,218.77946
220.15999,219.4692
221.54,220.2453
217.24,219.41321
217.9,218.11723
218.9,218.5124
220.15999,219.58434
221.54,220.3438
222.87,221.29202
217.9,218.91121
218.9,218.44565
220.15999,219.32507
221.54,220.5501
222.87,221.63287
223.97,222.38556
218.9,218.40953
220.15999,219.01396
221.54,220.57542
222.87,222.05716
223.97,223.11485
224.69,223.75323
220.15999,218.89685
221.54,220.65736
222.87,222.35
223.97,223.4635
224.69,224.38707
224.95999,224.76357
221.54,220.29579
222.87,222.80333
223.97,223.74585
224.69,224.58592
224.95999,225.13893
224.76001,225.30199
222.87,222.44695
223.97,224.4712
224.69,224.94704
224.95999,225.0376
224.76001,225.26726
224.16,225.33286
223.97,224.21806
224.69,225.19513
224.95999,225.11319
224.76001,225.19745
224.16,225.18048
223.28,225.10394
224.69,225.19376
224.95999,225.11467
224.76001,224.93333
224.16,224.72011
223.28,224.73692
222.31,224.34952
224.95999,225.23148
224.76001,224.45049
224.16,224.42444
223.28,224.20189
222.31,223.82048
221.45001,223.22137
224.76001,224.52621
224.16,224.13972
223.28,223.71017
222.31,223.22244
221.45001,222.59581
220.84001,221.69934
224.16,223.91841
223.28,223.5641
222.31,222.9708
221.45001,222.0455
220.84001,221.17278
220.61,220.57468
223.28,223.09717
222.31,222.84892
221.45001,221.72324
220.84001,220.92781
220.61,220.46048
220.77,219.7521
222.31,222.60342
