Actual,Predicted
186.0,184.61537
181.0,181.63004
196.0,179.23697
173.99998,176.8854
172.0,173.87761
170.0,172.78415
168.0,169.67976
166.0,168.10133
165.0,166.61908
164.0,163.53577
162.0,163.14787
163.0,160.86258
162.0,160.00671
163.0,160.30965
163.00002,159.36127
164.0,160.27176
164.0,160.84166
164.0,162.50882
164.0,162.33286
164.0,162.87961
166.0,164.29564
185.0,165.29956
167.0,165.8282
167.0,167.26755
166.99998,170.29242
166.0,170.34334
166.0,170.95193
166.0,170.44383
167.0,168.34381
167.0,167.797
168.0,166.02838
167.0,166.87433
168.0,166.30554
168.0,164.86963
167.0,165.82298
167.0,165.67429
167.0,165.2102
167.0,165.0524
165.99998,164.62805
167.0,164.01309
181.0,164.52103
166.00002,164.30699
166.0,163.88474
165.0,164.59476
165.0,163.35135
164.0,162.0252
163.0,162.00269
161.0,159.27023
160.0,158.3746
159.0,155.99277
158.0,154.95053
156.0,154.16768
155.0,150.94324
152.0,150.57343
150.0,148.96121
149.0,148.72748
150.0,147.24794
147.0,146.86069
146.0,146.40222
159.0,145.92673
143.0,145.06705
142.0,143.39682
142.0,144.11243
142.0,142.16965
143.0,141.08386
143.0,141.22292
143.00002,140.45331
143.0,140.96542
143.00002,139.70262
144.0,141.47049
144.0,141.33723
143.0,140.53934
146.0,141.64694
142.0,141.5838
142.0,143.39417
155.0,143.607
141.0,142.55832
139.99998,143.18741
140.0,143.34567
140.0,142.35254
140.0,141.30759
139.0,141.40753
139.0,140.95255
140.0,141.04372
139.0,141.88812
140.0,140.92674
140.0,141.20303
141.0,139.59406
142.0,141.54245
142.0,142.31668
141.99998,142.12573
143.0,142.87341
142.0,142.93423
143.0,144.92752
155.0,145.08444
142.0,145.689
143.0,144.76802
143.0,146.70052
144.0,145.91429
144.0,144.84009
144.0,145.16016
143.0,144.33092
144.0,145.1214
144.0,144.52023
144.0,144.85413
145.0,145.25052
145.0,144.33252
145.0,146.12056
146.0,145.76782
146.0,147.00015
149.0,147.08282
147.0,147.4545
148.0,149.0921
161.0,149.16846
147.99998,150.72345
149.0,151.07693
150.0,151.95764
151.0,152.49002
150.99998,151.69287
152.0,153.57214
153.0,153.15741
153.99998,153.91101
155.0,153.44287
155.0,153.21417
156.0,155.33344
156.0,153.48413
157.0,154.94629
158.0,155.48279
158.0,155.55731
161.0,156.5892
158.0,156.88657
158.0,158.23645
171.0,158.72766
159.0,159.36984
160.0,159.1241
160.0,159.82455
160.0,158.8106
160.0,158.80049
160.0,159.91724
161.0,158.23508
160.0,159.35373
160.0,158.02893
161.0,157.53638
160.0,158.35121
161.0,156.88245
161.0,158.25629
162.0,158.996
162.0,160.02425
167.0,160.9197
162.0,161.5659
163.0,161.98468
176.0,162.54993
163.0,163.13669
164.0,163.1929
165.0,165.29358
166.0,166.30556
166.0,167.83795
166.0,171.3248
167.0,172.09497
168.0,175.84866
168.0,178.76077
169.0,183.41147
168.00002,188.11343
284.0,191.20839
171.0,195.44348
170.0,195.23172
170.0,194.4391
179.0,190.65665
171.0,187.92882
171.0,183.9647
184.0,181.60408
174.99998,179.89835
173.0,178.04446
174.0,176.37268
174.0,173.77623
174.0,171.653
174.0,178.65611
175.0,180.63092
175.0,184.23793
175.0,182.1696
175.0,181.93211
175.99998,189.91147
283.0,192.60196
177.0,195.19438
178.0,193.91217
178.0,194.85799
186.0,190.48212
180.0,188.04639
187.0,189.23659
199.0,188.44302
181.0,189.86174
181.99998,184.49944
182.0,185.72484
183.0,183.76079
183.0,175.96017
184.0,184.30634
183.0,183.79457
183.0,186.63391
183.0,183.49925
183.0,182.57318
182.0,184.63676
182.0,181.9721
182.0,180.96481
181.0,176.99669
181.0,177.42477
194.0,176.4104
180.0,178.09995
180.0,184.97755
189.0,187.97653
180.0,186.53728
180.0,181.80365
181.0,184.78488
183.0,182.93695
183.0,178.4579
183.0,181.34329
194.0,181.94205
184.0,180.80298
202.0,185.2309
186.0,187.66078
184.99998,187.50801
185.0,188.6134
186.0,188.75406
184.0,187.78844
183.0,188.34868
186.0,187.78403
181.99998,185.52734
182.0,188.08183
195.0,185.66943
183.0,181.62341
183.0,178.7581
183.0,180.96373
183.0,180.88637
184.0,180.21347
183.0,181.86403
183.0,180.64735
183.0,183.63916
183.0,182.79193
183.0,183.9827
183.0,183.31253
183.0,186.17235
185.0,185.69963
182.99998,185.7542
184.0,186.07523
193.0,184.63728
186.0,185.13474
188.0,186.91925
198.0,182.80673
189.0,187.16605
189.0,185.97336
190.0,189.90356
192.0,188.68248
192.0,192.2062
193.0,193.39429
195.0,189.44415
195.0,194.59814
194.0,189.99738
196.0,193.25995
194.0,192.70769
192.99998,193.88535
194.0,198.34738
192.0,200.84875
192.0,205.10251
196.0,207.85309
192.0,210.56923
284.0,210.21146
203.0,211.73172
197.0,211.26144
197.0,213.34822
196.0,214.14215
198.0,208.48235
196.0,206.65775
196.0,205.3349
197.0,200.19075
196.0,202.45462
197.0,196.13976
198.0,197.02933
197.0,192.09366
196.99998,196.92223
200.0,198.21057
196.0,200.18988
197.0,198.11598
198.00002,192.0554
197.0,195.57957
196.0,192.16762
196.99998,195.2892
199.0,192.30833
199.0,193.79637
198.0,194.15529
196.0,189.86339
192.0,192.32773
193.0,192.43623
192.0,194.17271
192.0,191.37553
193.0,191.95877
193.0,194.70988
193.0,191.45987
193.0,196.20056
194.0,195.2909
195.0,194.55264
195.0,199.48598
197.0,196.17482
196.0,197.51097
196.0,197.59727
206.0,200.57983
197.0,200.47592
198.0,196.05688
198.0,200.41287
199.0,201.03522
199.99998,201.69412
201.0,198.99112
201.0,199.95537
201.0,200.15889
202.0,199.08745
202.0,200.34059
203.0,203.19102
203.0,204.11197
203.0,204.47537
203.0,199.30522
203.0,203.14487
206.0,199.10431
203.0,198.35919
203.0,202.04875
212.0,203.34378
203.0,204.44798
202.0,203.65135
201.99998,207.1605
203.0,207.44876
203.0,206.54417
202.0,201.81848
202.0,204.96526
202.0,203.9039
202.0,204.76895
219.0,205.75485
208.0,207.71194
206.0,209.50366
205.0,204.82677
216.0,209.36368
211.0,209.69427
214.0,211.10184
211.0,211.3127
210.0,211.6049
211.99998,208.20355
207.0,210.32375
206.0,208.08649
205.0,208.77466
205.0,210.11928
207.0,208.2636
208.0,206.24414
210.0,205.32492
210.0,205.87674
210.0,207.02832
211.0,205.6788
210.0,209.6935
209.0,210.2138
212.0,207.29466
210.0,210.94434
210.0,212.4064
218.0,211.85669
212.0,212.42589
210.0,213.16492
219.0,211.02658
211.0,211.3817
210.0,211.9732
210.0,212.276
210.0,211.6279
209.0,209.84486
208.0,211.22385
210.0,208.85272
209.0,211.57335
209.0,209.95047
211.0,210.05151
211.0,208.87657
210.0,210.11891
212.0,208.56053
210.0,210.7586
210.0,210.04272
216.0,211.96475
210.0,210.86261
209.0,210.64322
220.0,210.85233
209.0,211.15334
207.0,212.01717
207.0,211.01558
211.0,210.88
210.0,210.70975
209.0,208.65538
209.0,208.88696
204.0,206.763
204.0,205.93837
204.0,205.52673
203.0,207.53206
203.0,205.02957
205.0,206.31557
205.0,203.73112
206.0,205.82208
210.0,204.49725
209.0,204.9366
209.0,207.42696
211.0,208.85155
209.0,207.05608
210.0,209.61853
211.0,207.96951
211.0,209.23195
211.0,211.4202
212.0,211.97517
214.0,212.0281
214.0,211.45451
214.0,212.14505
214.0,214.84036
213.0,211.46075
213.0,210.28963
215.0,214.05246
213.0,212.51526
212.0,212.82991
220.0,213.45502
211.0,213.7646
210.0,213.2722
221.0,213.79407
212.0,212.92001
212.0,212.55962
212.0,213.95538
212.0,212.79716
212.0,211.76753
214.0,210.80972
216.0,212.539
219.0,211.81836
220.0,211.94046
220.0,214.4253
219.0,214.70004
218.0,214.9565
218.0,213.96266
217.0,213.71153
217.0,214.1801
215.0,212.9168
213.0,213.9115
213.0,214.00198
214.0,212.29022
216.0,213.71992
218.00002,214.80388
217.0,214.79083
219.0,216.58426
218.0,219.10533
215.0,217.15836
216.0,219.3451
216.0,221.04367
217.0,221.7739
219.0,225.38853
226.0,226.10928
230.00002,229.33061
231.0,232.30408
234.0,233.62167
236.0,236.27556
251.0,238.2214
245.0,241.83041
219.79999,243.78253
256.0,246.86157
255.0,249.04716
256.0,249.90181
255.0,251.93834
259.0,251.78827
249.0,251.00916
243.0,249.08704
231.0,247.5168
226.0,243.45242
225.0,240.30237
230.0,238.22183
232.0,236.5678
232.0,233.0844
232.0,231.77916
229.0,229.36452
228.0,230.55798
239.0,230.96724
235.0,230.9263
238.0,231.94496
249.0,233.74951
238.0,234.89185
237.0,235.99052
238.0,237.93875
238.0,238.48781
237.0,240.11743
261.0,239.89651
238.0,239.44908
238.0,240.93083
238.0,239.37585
240.0,238.39099
238.0,238.40999
238.0,236.85878
238.0,235.92792
237.0,236.062
236.0,236.14726
240.0,234.54442
238.0,234.6994
236.0,234.7397
242.0,235.86356
236.0,235.41776
236.00002,236.95428
236.0,236.16783
235.0,234.36253
234.0,234.27931
234.0,233.20482
235.0,233.91331
234.0,233.35947
234.0,233.05888
234.0,233.90842
235.0,233.68497
235.0,233.98457
235.0,233.63788
236.0,234.91893
236.0,232.76099
238.0,234.71191
234.0,235.15279
236.0,234.20119
240.0,235.5249
236.0,236.42053
237.0,236.00249
237.0,237.85448
236.0,239.07407
