Actual,Predicted
207.0,205.21622
204.0,202.43462
199.99998,200.48111
198.0,197.51056
194.0,194.45099
189.0,191.52214
186.0,187.5079
181.0,184.53642
196.0,181.84265
173.99998,177.61444
172.0,175.11981
170.0,172.62889
168.0,169.00653
166.0,165.46373
165.0,164.57913
164.0,162.51028
162.0,162.37459
163.0,162.53851
162.0,160.94016
163.0,161.86313
163.00002,162.38196
164.0,164.00363
164.0,163.90082
164.0,165.3742
164.0,165.85089
164.0,166.34335
166.0,168.2146
185.0,170.31172
167.0,170.82909
167.0,172.07236
166.99998,171.4035
166.0,167.9988
166.0,166.48026
166.0,166.22673
167.0,165.6788
167.0,165.99365
168.0,165.3849
167.0,165.76788
168.0,166.60999
168.0,166.2171
167.0,166.94362
167.0,166.21973
167.0,166.66507
167.0,167.71019
165.99998,167.75296
167.0,169.05504
181.0,169.85802
166.00002,168.79045
166.0,168.15475
165.0,167.20117
165.0,164.73395
164.0,163.19815
163.0,163.52788
161.0,160.76831
160.0,159.78525
159.0,157.60274
158.0,155.96992
156.0,155.3787
155.0,153.35974
152.0,152.34703
150.0,150.16869
149.0,149.6601
150.0,149.19302
147.0,148.75052
146.0,148.63838
159.0,148.75697
143.0,145.78958
142.0,145.04115
142.0,144.21515
142.0,141.86862
143.0,140.83035
143.0,142.70523
143.00002,143.36972
143.0,143.09454
143.00002,141.4414
144.0,142.77104
144.0,143.70264
143.0,143.90175
146.0,144.09842
142.0,143.2782
142.0,144.46478
155.0,145.31242
141.0,143.4985
139.99998,143.0914
140.0,141.4637
140.0,138.90451
140.0,138.41025
139.0,140.2778
139.0,139.93167
140.0,139.07785
139.0,139.88306
140.0,139.18964
140.0,142.00148
141.0,142.37259
142.0,141.76979
142.0,142.55121
141.99998,143.17343
143.0,144.74655
142.0,144.44232
143.0,145.24945
155.0,145.42105
142.0,145.92996
143.0,145.61208
143.0,145.92696
144.0,143.4137
144.0,143.0527
144.0,144.41246
143.0,144.26743
144.0,144.5188
144.0,144.16507
144.0,143.80443
145.0,144.8553
145.0,144.77405
145.0,146.57303
146.0,145.82607
146.0,147.99455
149.0,148.62
147.0,148.9144
148.0,150.91837
161.0,151.1875
147.99998,152.09128
149.0,152.07451
150.0,152.50278
151.0,150.7131
150.99998,149.88962
152.0,152.73282
153.0,153.82227
153.99998,155.25906
155.0,154.15631
155.0,153.8631
156.0,155.84354
156.0,154.53658
157.0,156.14865
158.0,156.21213
158.0,157.5693
161.0,158.31078
158.0,158.79422
158.0,160.09856
171.0,160.63988
159.0,160.59186
160.0,160.91425
160.0,161.40405
160.0,159.80434
160.0,159.31522
160.0,161.36514
161.0,160.02682
160.0,160.61351
160.0,159.7984
161.0,159.24965
160.0,160.61684
161.0,160.20865
161.0,160.8141
162.0,160.84999
162.0,160.95201
167.0,161.34991
162.0,160.32545
163.0,161.16403
176.0,161.74176
163.0,161.41264
164.0,161.881
165.0,163.22128
166.0,163.69006
166.0,165.36526
166.0,169.09662
167.0,168.98471
168.0,174.54724
168.0,181.01385
169.0,186.36742
168.00002,193.54701
284.0,201.35422
171.0,207.42697
170.0,201.53792
170.0,195.38506
179.0,184.52313
171.0,171.8576
171.0,175.30109
184.0,178.50085
174.99998,173.63385
173.0,174.29126
174.0,168.96896
174.0,171.91402
174.0,169.6743
174.0,168.36115
175.0,169.64786
175.0,180.16368
175.0,187.99936
175.0,197.83742
175.99998,211.04848
283.0,215.0424
177.0,214.35437
178.0,206.9754
178.0,200.92253
186.0,189.40671
180.0,178.49216
187.0,183.0456
199.0,184.74142
181.0,184.02777
181.99998,183.51935
182.0,184.5118
183.0,189.89868
183.0,184.07695
184.0,185.69644
183.0,178.98709
183.0,186.23752
183.0,187.09943
183.0,183.47604
182.0,186.11139
182.0,183.16959
182.0,180.86993
181.0,181.41913
181.0,184.31516
194.0,184.63794
180.0,185.72598
180.0,187.0245
189.0,186.38708
180.0,180.80261
180.0,176.56567
181.0,181.00348
183.0,180.51337
183.0,179.93094
183.0,186.86569
194.0,186.5542
184.0,187.56293
202.0,192.54231
186.0,192.2916
184.99998,190.88301
185.0,189.47958
186.0,184.74904
184.0,182.17444
183.0,181.12704
186.0,181.23944
181.99998,178.49524
182.0,183.87683
195.0,184.14078
183.0,182.26035
183.0,183.57849
183.0,185.89447
183.0,182.89793
184.0,182.88466
183.0,184.51837
183.0,182.72626
183.0,182.32979
183.0,181.74454
183.0,181.11865
183.0,180.0732
183.0,185.31825
185.0,181.79561
182.99998,184.66135
184.0,184.08119
193.0,185.87169
186.0,187.3815
188.0,191.7265
198.0,188.33572
189.0,191.3608
189.0,189.15718
190.0,189.96808
192.0,186.74579
192.0,189.02307
193.0,190.72888
195.0,187.80392
195.0,190.24043
194.0,186.37
196.0,187.99307
194.0,188.1919
192.99998,191.69942
194.0,193.73048
192.0,195.20396
192.0,199.64465
196.0,205.48872
192.0,213.53549
284.0,221.42288
203.0,224.80931
197.0,221.58737
197.0,218.8005
196.0,210.86877
198.0,195.20067
196.0,195.50552
196.0,198.50911
197.0,191.93694
196.0,197.1715
197.0,189.72528
198.0,195.2239
197.0,194.04544
196.99998,198.62732
200.0,195.18904
196.0,195.91096
197.0,200.4065
198.00002,197.2808
197.0,201.33896
196.0,198.36093
196.99998,196.36816
199.0,192.64595
199.0,194.7003
198.0,192.7602
196.0,188.81105
192.0,190.22566
193.0,187.23318
192.0,190.30864
192.0,186.96347
193.0,187.87889
193.0,191.91138
193.0,188.81879
193.0,193.55475
194.0,191.85268
195.0,191.74173
195.0,199.36858
197.0,194.43071
196.0,198.19269
196.0,197.51233
206.0,199.45984
197.0,197.67282
198.0,193.43086
198.0,198.96356
199.0,197.8825
199.99998,198.68323
201.0,197.17604
201.0,199.90517
201.0,199.60474
202.0,199.56963
202.0,198.61523
203.0,201.72943
203.0,202.87935
203.0,203.45618
203.0,200.8193
203.0,205.28477
206.0,200.86198
203.0,200.49667
203.0,204.43288
212.0,204.53192
203.0,204.00719
202.0,199.605
201.99998,203.29007
203.0,201.52048
203.0,202.37202
202.0,200.79309
202.0,201.2164
202.0,201.48254
202.0,203.7662
219.0,205.8557
208.0,209.23459
206.0,213.08179
205.0,209.8024
216.0,212.43567
211.0,210.24222
214.0,212.65234
211.0,210.66258
210.0,209.51155
211.99998,209.23949
207.0,208.32123
206.0,205.26859
205.0,205.77528
205.0,206.03331
207.0,205.18448
208.0,205.9483
210.0,206.83078
210.0,208.33908
210.0,209.18576
211.0,207.915
210.0,210.37582
209.0,212.26918
212.0,209.25658
210.0,212.77151
210.0,214.2627
218.0,214.39821
212.0,213.33922
210.0,212.98088
219.0,214.13158
211.0,210.33812
210.0,210.93517
210.0,210.69162
210.0,209.97052
209.0,208.64871
208.0,210.77762
210.0,209.36789
209.0,210.83917
209.0,208.77629
211.0,209.38843
211.0,210.04303
210.0,211.70789
212.0,210.63329
210.0,211.97804
210.0,210.4537
216.0,212.50499
210.0,211.32094
209.0,211.25067
220.0,211.75865
209.0,211.00299
207.0,212.4653
207.0,210.39339
211.0,210.76736
210.0,208.97018
209.0,207.79456
209.0,207.71822
204.0,204.46971
204.0,204.29254
204.0,202.49289
203.0,204.7527
203.0,201.98032
205.0,204.79974
205.0,202.57776
206.0,205.42342
210.0,207.28879
209.0,207.32324
209.0,210.50595
211.0,211.01091
209.0,209.27405
210.0,212.19946
211.0,210.39262
211.0,211.74385
211.0,212.12213
212.0,212.49898
214.0,211.62183
214.0,210.2602
214.0,212.57368
214.0,215.16263
213.0,211.52469
213.0,211.52484
215.0,213.30269
213.0,211.68329
212.0,213.29266
220.0,213.94443
211.0,214.2125
210.0,213.88394
221.0,214.20345
212.0,213.53348
212.0,210.82455
212.0,211.95877
212.0,210.94995
212.0,210.19104
214.0,212.62154
216.0,214.93446
219.0,215.70815
220.0,217.89786
220.0,216.76607
219.0,215.62094
218.0,217.37357
218.0,216.91249
217.0,216.3892
217.0,215.75146
215.0,213.45718
213.0,213.13573
213.0,215.11024
214.0,214.52266
216.0,215.24599
218.00002,216.2758
217.0,217.01936
219.0,217.47266
218.0,217.96646
215.0,218.57811
216.0,218.11197
216.0,218.85359
217.0,220.5144
219.0,224.95863
226.0,227.03983
230.00002,229.81493
231.0,233.752
234.0,236.48676
236.0,240.54236
251.0,242.4513
245.0,245.76874
219.79999,246.6037
256.0,249.50987
255.0,252.19864
256.0,254.14879
255.0,257.24936
259.0,257.1308
249.0,252.4444
243.0,247.01118
231.0,241.94136
226.0,234.50504
225.0,231.81174
230.0,228.89642
232.0,227.30515
232.0,227.79904
232.0,230.59338
229.0,230.24637
228.0,233.68944
239.0,234.92953
235.0,236.83499
238.0,240.15361
249.0,242.65527
238.0,242.05048
237.0,241.02406
238.0,242.2036
238.0,239.89062
237.0,240.19612
261.0,241.24818
238.0,239.95631
238.0,240.43214
238.0,238.47932
240.0,235.70973
238.0,235.62346
238.0,236.26605
238.0,236.22089
237.0,235.14465
236.0,236.46661
240.0,234.89963
238.0,235.43335
236.0,236.81747
242.0,237.08444
236.0,235.43895
236.00002,235.4738
236.0,234.18872
235.0,232.68085
234.0,233.5354
234.0,233.34023
235.0,233.73608
234.0,232.67625
234.0,233.68378
234.0,235.05127
235.0,234.76706
235.0,235.36252
235.0,234.37909
236.0,235.57275
236.0,233.43762
238.0,235.8628
234.0,236.09052
236.0,235.66516
240.0,237.1431
236.0,236.12437
237.0,236.1128
237.0,237.17319
236.0,237.4825
237.0,236.6718
237.0,238.08743
238.0,238.43689
239.0,239.26366
240.0,239.4504
242.0,241.19978
242.0,242.82362
243.0,243.17105
245.0,245.56981
246.0,245.49257
247.0,248.69218
254.0,250.53552
250.0,251.49042
250.0,252.42975
252.0,253.58517
260.0,251.29929
252.0,253.1359
252.0,254.7614
252.0,253.73692
252.0,252.69337
252.0,252.45267
253.0,251.91808
253.0,252.28105
253.0,251.91844
252.0,252.53903
252.0,251.63483
254.0,253.96036
254.0,254.19975
256.0,253.92339
256.0,254.66309
256.0,256.33054
256.0,256.6893
258.0,255.87001
257.0,257.64096
257.0,257.68323
258.0,258.28018
263.0,257.69705
257.0,258.6712
259.0,259.80252
259.0,261.14377
267.0,262.20468
260.0,261.10168
260.0,260.5427
260.0,260.2136
260.0,261.05518
260.0,258.8078
260.0,259.08005
259.0,259.66016
259.0,259.14655
259.0,259.1451
259.0,257.83264
258.0,259.65262
258.0,259.7741
260.0,259.59222
260.0,259.48703
261.0,261.65466
263.0,263.01572
265.0,264.79562
265.0,266.32886
266.0,267.78394
267.0,267.66165
272.0,268.60455
268.0,268.84216
269.0,268.55786
269.0,269.22314
271.0,268.61157
269.0,267.64136
269.0,268.07224
267.0,266.7887
265.0,265.65173
265.0,263.16803
263.0,262.2284
262.0,261.15552
260.0,259.6285
259.0,260.4353
258.0,259.60406
258.0,259.5693
258.0,259.25446
260.0,260.1981
261.0,261.73517
262.0,261.8233
264.0,262.0162
264.0,265.58112
265.0,266.8499
265.0,264.77356
266.0,265.32092
267.0,264.78812
266.0,265.45584
265.0,264.16608
264.0,263.74585
265.0,262.01605
261.0,262.24268
259.0,260.22153
258.0,258.01312
257.0,256.7944
257.0,257.2293
256.0,257.21884
255.0,256.14114
255.0,255.70758
256.0,255.76704
256.0,255.66595
257.0,256.10876
257.0,256.68
258.0,257.8091
257.0,257.2054
257.0,256.5974
257.0,256.9728
256.0,256.36792
255.0,254.32991
254.0,253.98509
253.0,252.73273
255.0,250.36809
249.0,249.59036
247.0,246.9925
245.0,246.49535
252.0,244.58545
241.0,242.63358
240.0,241.94429
238.0,239.39738
238.0,238.83252
238.0,237.82637
238.0,238.30206
239.0,238.42424
240.00002,239.7056
240.0,240.16704
241.0,240.47023
241.0,241.30493
242.0,242.23827
242.0,243.73422
242.0,242.27954
242.0,242.25493
242.0,242.78894
242.0,243.00276
242.0,242.92706
241.0,242.97198
241.0,241.43173
244.0,240.9665
239.0,240.03065
239.0,239.48174
238.0,238.54774
247.0,238.53813
236.0,238.60658
236.00002,236.98923
236.0,236.21533
236.0,235.61958
237.0,235.85555
237.0,236.45744
238.0,236.90642
238.0,237.86931
239.0,238.56415
240.0,238.30226
240.0,239.43997
240.0,240.27715
241.0,240.62468
241.0,241.23856
241.0,241.58401
242.0,241.3368
242.0,241.35442
242.0,241.88069
242.0,241.65253
241.0,240.42572
240.0,239.58632
239.00002,239.85417
239.0,238.67271
239.0,238.51318
240.0,238.75383
240.0,239.96552
241.0,240.39287
242.0,241.22504
242.0,241.64018
242.0,242.18452
242.0,242.35503
242.0,242.53752
241.0,241.63226
241.0,240.61707
241.0,241.05174
241.00002,240.91112
241.0,240.66817
241.0,241.21387
241.00002,240.60474
241.0,240.85556
240.0,240.34854
239.0,239.83797
238.0,239.49086
241.00002,239.04536
237.0,239.22572
237.0,237.82068
237.0,237.7057
245.0,237.61783
236.0,237.6306
236.0,237.24695
235.0,236.67056
234.0,234.43785
234.0,233.18248
233.0,232.67319
232.00002,232.60121
232.0,231.88756
232.0,232.70642
232.0,230.77167
231.00002,231.94067
231.0,231.39745
232.00002,231.05592
231.0,230.64355
231.0,230.93103
231.0,230.92978
230.0,230.15114
229.0,230.50905
229.0,229.82907
228.0,229.17068
230.0,229.07532
228.00002,228.57008
228.0,228.48055
228.0,227.92863
227.0,227.70201
227.0,226.55629
226.0,226.9682
228.0,227.24442
226.0,227.347
227.0,228.426
227.00002,227.65302
240.0,229.24837
228.00002,229.77321
228.00002,229.56612
228.0,229.37247
228.0,228.57164
227.0,227.12187
226.00002,226.32094
226.0,225.39087
225.0,225.1963
225.0,225.4163
224.00002,223.12294
224.0,223.16527
223.0,222.59973
222.0,222.76025
221.0,222.11023
222.0,221.32538
222.00002,221.23534
223.00002,221.47452
224.0,222.95648
224.0,224.35316
225.0,225.35599
226.0,226.39668
226.0,228.12674
228.0,228.80508
228.0,230.60121
242.00002,232.75406
231.0,234.65588
232.0,235.6063
233.0,236.0196
234.0,235.86421
245.0,236.15527
235.0,237.83376
235.0,237.05151
236.0,236.43492
236.0,236.08502
236.0,235.23317
236.0,236.91904
237.0,238.11891
237.0,238.4766
248.0,239.47916
239.00002,239.68164
239.0,240.3055
239.0,241.12088
240.0,240.89886
240.0,240.55699
240.0,240.96823
240.0,241.26718
241.0,242.18321
254.00002,244.27823
242.00002,244.3973
243.0,245.25763
244.0,244.68747
244.0,245.0733
245.0,244.38445
246.0,246.24878
246.0,246.32126
246.0,245.9452
247.00002,248.15883
247.0,247.93462
259.0,250.65443
248.0,252.81815
247.0,252.02261
261.0,251.55974
259.0,252.64139
249.0,252.83838
250.0,253.41603
250.0,253.05222
251.0,250.8911
252.00002,251.3117
252.00002,252.6647
253.00002,254.17734
254.0,255.23605
264.0,256.8772
256.0,257.85123
261.0,259.1625
258.0,258.99167
259.0,259.45
260.0,259.6067
261.0,260.7919
262.0,260.12433
262.0,262.06952
263.0,263.66702
262.0,263.50378
262.0,263.16635
261.0,263.62943
271.0,262.92096
260.0,262.41144
265.0,262.93405
260.0,261.75964
260.0,260.40457
259.0,258.62134
258.0,258.6625
257.0,257.6031
256.0,256.76456
255.0,255.39166
254.0,254.6539
254.0,255.60382
253.0,254.21478
261.0,255.16093
251.0,255.08076
256.0,253.97961
251.0,252.27826
250.0,251.17407
250.0,250.15253
250.0,250.65219
250.0,249.92664
250.0,250.59421
249.0,251.38959
249.0,249.54103
249.0,250.30145
250.00002,250.225
260.0,252.40001
249.0,253.08896
254.0,253.28635
250.0,252.9904
251.0,252.01083
251.0,251.70537
252.0,252.872
253.0,252.28365
253.0,254.33263
253.0,253.77509
254.0,253.2868
255.0,254.71365
255.0,255.37912
266.0,256.6505
254.0,257.10297
256.0,258.82108
254.0,257.8322
256.0,258.52756
260.0,258.68698
262.0,261.4072
266.0,262.4857
265.0,263.90338
266.0,264.57513
263.0,262.5853
261.0,262.23187
259.0,260.959
260.0,259.77393
257.0,258.36862
258.0,257.83295
257.0,255.98686
257.0,255.21863
256.0,254.41374
256.0,254.01631
239.79999,252.33571
255.0,251.5898
255.0,251.41296
254.0,253.53429
254.0,255.46863
254.0,256.5756
267.0,256.80045
255.0,256.06116
249.20001,255.28265
253.99998,254.34679
263.0,253.96637
254.00002,253.0303
253.99998,254.03967
253.0,252.38524
253.0,252.76346
252.0,252.61722
252.0,252.67172
252.0,253.99077
252.0,252.41408
262.0,254.11382
251.0,253.63747
253.0,256.144
252.0,256.14963
253.0,256.61377
255.0,258.61285
259.0,260.84488
264.0,264.65125
269.0,267.8429
274.0,273.20505
277.0,274.64374
280.0,277.50467
280.0,280.0494
290.0,281.54388
280.0,280.8757
282.0,281.23898
278.0,279.027
276.0,277.1191
275.0,275.80627
274.0,273.63556
273.0,272.46173
272.0,270.78403
271.0,271.4708
271.0,271.3192
271.0,272.94064
271.0,273.27515
280.0,275.9625
271.0,278.27966
275.0,280.93387
274.0,283.52997
284.0,286.73862
286.0,290.486
296.0,297.97772
300.0,302.20352
304.0,307.21136
308.0,312.5421
312.0,317.07
318.0,320.6095
321.0,322.7594
332.0,327.00113
324.0,326.3544
327.0,328.15985
327.0,328.19574
328.0,328.78143
328.0,326.90118
328.0,329.02332
329.0,327.7614
330.0,330.63766
330.0,332.966
332.0,334.00302
334.0,338.48248
337.0,339.42633
348.0,344.57104
343.0,346.00073
348.0,349.96124
348.0,351.1862
351.0,353.68738
354.0,353.6656
356.0,357.2281
358.0,358.06384
360.0,360.44916
361.0,360.24106
361.0,358.3433
359.0,358.97394
358.0,357.93164
359.0,357.7673
356.0,354.71918
354.0,354.59546
353.0,353.07837
354.0,352.3593
352.0,350.4489
351.0,351.7592
351.0,349.9023
351.0,350.49036
352.0,350.4859
353.0,351.2256
353.0,352.68152
354.0,352.32495
353.0,353.82812
353.0,352.55402
352.0,353.12677
352.0,352.6477
352.0,352.64865
352.0,351.32144
352.0,352.00522
352.0,350.42908
351.0,351.16278
351.0,350.92822
350.0,350.04956
349.0,349.5504
352.0,348.3177
347.0,348.56244
347.0,346.80768
346.0,346.02216
348.0,344.7646
346.0,344.87064
346.0,344.05435
345.0,343.23605
345.0,341.84067
344.0,342.29425
344.0,344.07782
344.0,346.04214
346.0,346.83142
348.0,347.09003
353.0,351.6897
360.0,355.618
363.0,359.62097
362.0,360.88074
363.0,363.2922
362.0,362.48154
360.0,361.11417
358.0,359.90668
357.0,359.92517
357.0,359.02057
357.0,358.49384
366.0,357.85034
358.0,357.59772
360.0,359.40918
360.0,358.21075
362.0,357.69287
360.0,357.35596
359.0,357.95013
358.0,357.4306
358.0,357.94675
356.0,356.02298
355.0,354.50238
354.0,355.21027
354.0,354.78192
356.0,355.27283
356.0,354.0308
356.0,355.41327
356.0,355.05145
355.0,354.1952
354.0,352.43665
353.0,352.67706
352.0,351.15616
352.0,352.03723
352.0,350.9143
350.0,350.64935
349.0,350.5623
357.0,351.01407
347.0,350.08115
347.0,348.44977
346.0,348.21133
348.0,347.63
347.0,347.35345
346.0,346.296
346.0,346.72418
347.0,343.8436
347.0,345.26614
346.0,345.3801
344.0,344.753
341.0,341.6387
341.0,339.76257
338.0,337.8703
337.0,335.2428
336.0,335.487
334.0,333.93616
333.0,333.6761
332.0,332.94885
333.0,332.6328
334.0,333.22012
336.0,336.1525
339.0,337.52298
344.0,342.39844
357.0,345.4841
350.0,349.05914
352.0,351.53278
353.0,352.7196
355.0,353.22125
354.0,352.8313
354.0,353.1056
354.0,352.91492
353.0,352.68414
351.0,351.03592
350.0,349.81985
348.0,347.55118
347.0,345.81827
346.0,345.01083
344.0,342.526
342.0,341.1427
341.0,338.7608
338.0,338.51978
336.0,338.21106
335.0,336.6856
334.0,336.30872
333.0,334.67856
332.0,334.81287
331.0,333.62076
331.0,333.47693
340.0,334.43158
331.0,334.67218
333.0,336.43008
333.0,336.91486
339.0,338.16382
345.0,339.68298
343.0,342.46286
346.0,345.78833
345.0,345.60168
344.0,345.55646
344.0,344.11877
344.0,345.5912
345.0,344.01703
346.0,345.45374
348.0,345.92804
350.0,346.6593
351.0,348.07407
352.0,349.5179
352.0,350.19415
353.0,349.81204
352.0,350.6488
354.0,351.0832
354.0,352.1603
356.0,352.25937
365.0,352.03668
349.0,354.016
347.0,353.9416
355.0,354.2963
364.0,354.46887
363.0,357.33008
371.0,361.4256
367.0,362.9295
373.0,363.38928
374.0,363.4637
375.0,362.6172
371.0,361.31323
346.0,359.5182
360.0,355.94412
350.0,350.28122
346.0,346.96756
338.0,342.8222
335.0,342.55997
339.0,340.87115
338.0,342.2762
340.0,344.93982
347.0,347.49918
342.0,352.47784
348.0,354.46457
333.0,358.4087
358.0,364.23767
365.0,371.46277
375.0,380.5064
380.0,388.2128
374.0,395.70084
385.0,400.65277
408.0,406.2467
417.0,413.9195
422.0,417.86597
423.0,422.84302
428.0,425.745
431.0,426.64563
435.0,427.28043
435.0,428.06467
426.0,428.63187
427.0,429.41724
428.0,429.16888
427.00003,426.3283
432.0,428.9723
440.0,430.6331
430.0,430.68848
417.0,425.71405
414.0,419.82144
410.0,415.30084
407.0,411.30707
402.0,410.673
400.0,407.22333
395.0,404.5015
392.0,399.75156
397.0,387.2659
402.0,367.74072
395.0,348.35742
228.56784,339.43933
373.0,338.55798
372.0,335.79547
370.0,335.808
367.0,343.83545
370.0,360.38266
359.0,358.898
358.0,357.32068
356.0,361.6544
355.0,352.86664
356.0,356.06232
355.0,347.66544
355.0,349.58716
355.0,354.65112
367.0,358.96182
356.0,352.573
355.0,346.81488
352.0,343.19937
350.0,333.71002
349.0,336.22726
347.0,340.9372
344.0,341.59097
342.0,338.99597
340.0,341.19785
338.0,336.31946
346.0,338.06757
332.0,346.92505
351.0,346.127
330.0,348.1361
399.0,346.20087
324.0,347.99225
322.0,349.6397
320.0,338.28214
319.0,327.73114
318.0,312.52237
317.0,309.1635
317.0,311.99646
316.0,307.55795
314.0,307.995
313.0,309.91516
312.0,316.83603
311.0,318.6735
311.0,318.8374
310.0,317.139
309.0,314.94528
333.0,311.39532
307.0,313.41727
306.0,313.6194
306.0,306.87558
306.0,303.6255
305.0,298.05566
305.0,298.5337
304.0,299.0022
303.0,301.15
303.0,299.58832
301.0,302.01685
300.0,302.71536
299.0,298.44943
299.0,300.78372
298.0,302.2469
297.0,297.5957
299.0,298.27274
298.0,298.2364
298.0,292.8831
312.0,296.23236
297.0,294.12317
296.0,295.9218
295.0,294.0655
294.0,293.32654
293.0,296.7257
292.0,301.09525
292.0,310.02908
292.0,317.9026
383.0,328.98648
320.0,333.71442
316.0,333.3054
306.0,326.3437
304.0,320.07855
303.0,302.06894
296.0,306.17603
291.0,301.8099
290.0,294.2289
290.0,294.71338
304.0,294.90033
289.0,291.47906
290.0,290.04053
290.0,291.6587
292.0,292.46
292.0,292.16043
292.0,292.59045
290.0,296.04684
290.0,294.6808
290.0,297.96698
291.0,291.77573
290.0,291.1231
290.0,290.8746
290.0,291.12985
289.0,293.8913
287.0,287.461
290.0,287.01822
287.0,288.1648
286.0,289.04044
298.0,287.38956
284.0,288.16885
284.0,281.5813
284.0,287.0366
283.0,281.5056
284.0,284.94315
284.0,282.14868
284.0,286.31293
285.0,283.94583
286.0,288.04846
287.0,284.3394
287.0,289.18512
288.0,288.7005
288.0,292.79007
288.0,286.9043
287.0,286.08865
288.0,291.64322
287.0,287.3161
287.0,291.71378
301.0,291.4515
286.0,288.24792
285.0,290.42908
285.0,287.5892
284.0,288.55106
283.0,279.6315
282.0,286.96503
281.0,279.04672
280.0,280.37808
280.0,280.49252
279.0,280.01886
279.0,278.2287
278.0,277.97687
278.0,276.29965
278.0,277.92596
279.0,275.5285
281.0,283.25458
278.0,280.7208
279.0,282.28656
289.0,279.79132
279.0,283.07083
279.0,286.21304
280.0,281.3103
280.0,279.1428
281.0,285.14667
281.0,288.35794
282.0,284.904
282.0,283.27762
283.0,280.19858
283.0,275.5127
283.0,271.28275
222.8,266.10495
284.0,267.22348
284.0,261.7877
298.0,276.0645
300.0,282.24167
300.0,298.79773
286.0,296.8734
300.0,293.38074
287.0,292.41373
288.0,299.36603
289.0,299.05267
289.0,292.28888
290.0,290.8744
291.0,292.4732
291.0,292.51602
292.0,292.3015
292.0,295.30133
293.0,296.2102
293.0,290.15326
294.0,288.00037
294.0,296.41373
293.0,293.5306
292.0,291.689
296.0,294.39783
292.0,294.9146
291.0,294.27423
305.0,295.95703
289.0,292.87512
289.0,294.12888
289.0,293.6856
289.0,288.0821
290.0,290.65802
290.0,287.82254
290.0,291.41898
290.0,289.71185
290.0,288.5727
290.0,286.55832
290.0,290.41656
291.0,291.6047
291.0,292.7068
291.0,291.93237
290.0,292.35956
292.0,291.81506
290.0,291.1556
289.0,291.48315
300.0,289.9887
288.0,289.20557
287.0,288.93512
286.0,288.35254
286.0,286.48743
285.0,286.35562
284.0,285.3501
285.0,283.58008
285.0,285.44315
285.0,283.46158
284.0,285.91293
284.0,285.7969
284.0,286.13333
284.0,285.68503
284.0,285.48068
285.0,286.59756
285.0,287.4584
285.0,287.6254
285.0,283.95245
297.0,287.94565
285.0,285.48132
284.0,284.4522
284.0,282.3584
284.0,280.84183
283.0,281.6933
282.0,281.15533
282.0,280.21484
282.0,280.3666
282.0,281.81082
282.0,282.47552
282.0,283.78223
282.0,280.477
282.0,282.00647
281.0,280.1682
281.0,280.9835
282.0,281.09915
281.0,280.32404
281.0,281.06232
291.0,283.1617
280.0,280.26028
279.0,280.6663
278.0,279.9436
278.0,277.50623
277.0,276.7706
277.0,277.5797
276.0,275.54123
277.0,274.44592
