Model,Horizon,RMSE,MAE,MAPE,R2
DLinear,6,10.128249061971736,7.068706698220323,3.3204043645299266,0.9594679723790693
DLinear,12,10.682229511733183,7.547940162427352,3.6501158145600385,0.9549362151223436
DLinear,24,11.813658226013501,8.414469376067686,4.022991257511099,0.9449203773798811
DLinear,48,13.188893487069064,9.490394299521544,4.497515966100944,0.9314143287263967
DLinear,96,14.877490698016313,10.71185998847712,5.05049056959373,0.9128315748543324
DLinear,168,17.299054088003615,12.534189890949758,5.966080412489167,0.8820556912077555
NLinear,6,7.710920714553154,5.158156046741703,2.4571322189133853,0.976506806254617
NLinear,12,7.492543878044563,4.817068014369752,2.292305757087553,0.977830165784394
NLinear,24,8.259684108324954,5.303066352154346,2.522262824878178,0.9730754144254022
NLinear,48,10.652027391427163,6.850286282650924,3.2619200863738445,0.9552615204043915
NLinear,96,12.886805227782217,8.779753703402253,4.160202824653702,0.9345981016715366
NLinear,168,15.694317311000933,10.978330082103124,5.221822993920355,0.9029228239170173
