Stage,Model,Time_s,Unit
Training,NLinear,0.3531243165334066,s/epoch
Inference,NLinear,0.0004443399449612232,ms/sample
Training,DLinear,0.43379936218261717,s/epoch
Inference,DLinear,0.0051521557442685394,ms/sample
Training,CALinear,0.8133345603942871,s/epoch
Inference,CALinear,0.00587644729208439,ms/sample
Multi-Horizon,CALinear,0.026520490646362305,s/total
Training,Ablation-Baseline,0.29412843386332194,s/epoch
Training,Ablation-+Features,1.0231269359588624,s/epoch
Training,Ablation-+EventLoss,0.3184786319732666,s/epoch
Training,Ablation-Full,0.6900295575459798,s/epoch
Training,Alpha-1.0,0.6704250653584798,s/epoch
Training,Alpha-3.0,0.6648392041524251,s/epoch
Training,Alpha-5.0,0.6530406792958577,s/epoch
Training,NLinear,0.3210160573323568,s/epoch
Inference,NLinear,0.001995223211058488,ms/sample
XAI,NLinear,2.9997825622558594,ms/sample
Training,DLinear,0.6664937973022461,s/epoch
Inference,DLinear,0.008243490351185332,ms/sample
XAI,DLinear,7.002592086791992,ms/sample
Training,CALinear,0.8505755424499511,s/epoch
Inference,CALinear,0.003438099478998928,ms/sample
XAI,CALinear,1.9998550415039062,ms/sample
